Index,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
189,Yeidhavan,Action,6,Sakthi Rajasekaran,Sandra Amy,71417,2017,3,9,6
190,Saravanan Irukka Bayamaen,Action,2.9,Ezhil,Karai Natrajan,159,2017,2,8,4.3
191,Enga Amma Rani,Action,6.1,S. Bani,Dhansika,47566,2017,1,9,5.366666667
192,Baahubali 2: The Conclusion,Action,8.2,S.S. Rajamouli,Prabhas,71418,2017,4,8,6.733333333
193,Nagarvalam,Drama,5.8,Marxx,Yogi Babu,35314,2017,7,9,7.266666667
194,Sathya,Action,2.7,Deepan,Roma Asrani,110,2017,8,8,6.233333333
195,Kadamban - Taqatwar,Action,5.4,N. Ragavan,Arya,363,2017,5,9,6.466666667
196,Sivalinga - Kanchana Returns,Horror,4.7,P. Vasu,Bhanupriya,361,2017,6,7,5.9
197,Power Paandi,Action,7.6,Dhanush,Dhanush,1179,2017,9,7,7.866666667
198,8 Thottakkal,Action,7.6,Sri Ganesh,Vetri,1394,2017,4,8,6.533333333
199,Kaatru Veliyidai,Romance,5.9,Mani Ratnam,Karthi,1669,2017,7,9,7.3
200,Dora,Action,5.3,Dass Ramasamy,Nayanthara,701,2017,4,8,5.766666667
201,Kavan,Action,7.1,K.V. Anand,Vijay Sethupathi,1853,2017,5,9,7.033333333
202,Kadugu,Drama,7.5,Vijay Milton,Radhika Prasidhha,482,2017,4,8,6.5
203,Paambhu Sattai,Action,6.2,Adam Dasan,Bobby Simha,125,2017,8,9,7.733333333
204,Dhayam,Thriller,4.6,Kannan Rangaswamy,Aira Agarval,32535,2017,5,8,5.866666667
205,Vaigai Express,Thriller,4.6,Shaji Kailas,Shaji Kailas,23,2017,6,7,5.866666667
206,Julieum 4 Perum,Family,3.4,Satheesh,Amudhavaanan,7,2017,9,7,6.466666667
207,Bruce Lee,Action,2.4,Prashanth Pandiraj,Anandraj,146,2017,8,8,6.133333333
208,Kattappava Kanom,Comedy,5.1,Mani Seiyon,Yogi Babu,28454,2017,7,8,6.7
209,Oru Mugathirai,Drama,5.7,R. Senthil Nadan,Chaams,65651,2017,4,8,5.9
210,Maanagaram,Action,8.1,Lokesh Kanagaraj,Sundeep Kishan,3350,2017,5,9,7.366666667
211,ACP Shiva,Action,3.3,Sai Ramani,Joy Badlani,352,2017,8,9,6.766666667
212,Mupparimanam,Romance,5.5,Adhiroopan,Aari,35706,2017,9,8,7.5
213,Yaakkai,Romance,5.6,Kuzhandai Velappan,M.S. Bhaskar,48519,2017,6,7,6.2
214,Peranbu,Drama,9,Ram,Amudhavan Karuppiah,11506,2018,8,7,8
215,Maari 2,Action,5.6,Balaji Mohan,Dhanush,1913,2018,7,8,6.866666667
216,Adanga Maru,Action,7.1,Karthik Thangavel,Jayam Ravi,1696,2018,4,9,6.7
217,Kanaa,Drama,7.8,Arunraja Kamaraj,Aishwarya Rajesh,1225,2018,5,8,6.933333333
218,Seethakaathi,Drama,7,Balaji Tharaneetharan,Vijay Sethupathi,714,2018,8,9,8
219,Thuppakki Munai,Action,6.3,Dinesh Selvaraj,Vikram Prabhu,370,2018,9,8,7.766666667
220,Thuppakki Munai,Action,6.3,Dinesh Selvaraj,Vikram Prabhu,370,2018,8,9,7.766666667
221,2,Action,6.3,S. Shankar,Rajinikanth,20076,2018,7,8,7.1
222,Kaatrin Mozhi,Comedy,7.3,Radha Mohan,Jyotika,559,2018,8,9,8.1
223,Sarkar,Action,6.8,A.R. Murugadoss,Joseph Vijay,11994,2018,9,8,7.933333333
224,Pandem Kodi 2,Action,5.2,N. Linguswamy,Vishal,632,2018,5,9,6.4
225,Vada Chennai,Action,8.5,Vetrimaaran,Dhanush,8841,2018,8,8,8.166666667
226,Aan Devathai,Action,6.4,Thamira,Ilavarasu,120,2018,7,9,7.466666667
227,Raatchasan,Action,8.7,Ram Kumar,Vishnu Vishal,17425,2018,8,8,8.233333333
228,Nota,Drama,6.4,Anand Shankar,Vijay Deverakonda,2306,2018,9,9,8.133333333
229,96,Drama,8.6,C. Prem Kumar,Vijay Sethupathi,15523,2018,8,8,8.2
230,Pariyerum Perumal,Drama,8.8,Mari Selvaraj,Prabunath,6984,2018,7,9,8.266666667
231,Chekka Chivantha Vaanam,Action,7.3,Mani Ratnam,Slavisa Ivanovic,5118,2018,8,8,7.766666667
232,Raja Ranguski,Mystery,6.6,Dharani Dharan,Shirish,262,2018,9,7,7.533333333
233,Saamy Square,Action,4.5,Hari,Vikram,1090,2018,9,8,7.166666667
234,U Turn,Mystery,7,Pawan Kumar,Samantha Ruth Prabhu,2292,2018,7,9,7.666666667
235,Seema Raja,Action,4.5,Ponram,Sivakarthikeyan,1405,2018,5,8,5.833333333
236,Imaikkaa Nodigal,Action,7.4,R. Ajay Gnanamuthu,Nayanthara,4206,2018,8,7,7.466666667
237,Lakshmi,Drama,6.9,A.L. Vijay,Ditya Bhande,476,2018,5,8,6.633333333
238,Odu Raja Odu,Comedy,7.1,Jathin Sanker Raj,Nishanth Ravindaran,86,2018,9,9,8.366666667
239,Kolamavu Kokila,Comedy,7.3,Nelson,Nayanthara,1976,2018,6,8,7.1
240,Pyaar Prema Kaadhal,Romance,6.6,Elan,Harish Kalyan,872,2018,5,7,6.2
241,Vishwaroopam 2,Action,5.9,Vishwaroopam,Kamal Haasan,2076,2018,4,8,5.966666667
242,Ghajinikanth,Comedy,5.3,Santhosh P. Jayakumar,Arya,437,2018,1,9,5.1
243,Junga,Action,5.2,Gokul,Vijay Sethupathi,774,2018,2,8,5.066666667
244,Mohini,Horror,3.3,R. Madhesh,Trisha Krishnan,41485,2018,3,7,4.433333333
245,Chinababu,Action,7,Pandiraj,Karthi,1896,2018,6,8,7
246,Tamizh Padam 2.0,Comedy,6.5,C.S. Amudhan,Jiiva,1286,2018,9,9,8.166666667
247,Goli Soda 2,Drama,7.3,Vijay Milton,Samuthirakani,642,2018,8,8,7.766666667
