Index,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
59,Thegidi,Crime,7.8,P. Ramesh,Ashok Selvan,27868,2014,7,8,7.6
60,Pannaiyarum Padminiyum,Comedy,7.8,S.U. Arun Kumar,Vijay Sethupathi,1375,2014,5,9,7.266666667
61,Goli Soda,Action,7.7,Vijay Milton,Kishore Kumar G.,905,2014,8,7,7.566666667
62,Veeram,Action,6.5,Siva,Ajith Kumar,6655,2014,9,7,7.5
63,Rajini Murugan,Action,5.7,Ponram,Sivakarthikeyan,1322,2015,6,8,6.566666667
64,Visaaranai,Crime,8.5,Vetrimaaran,Dinesh,6219,2015,8,9,8.5
65,Pasanga 2,Drama,7.5,Pandiraj,Suriya,1031,2015,7,7,7.166666667
66,Thoongaavanam,Action,7,Rajesh M. Selva,Kamal Haasan,1819,2015,5,8,6.666666667
67,Naanum Rowdy Thaan,Action,7.3,Vignesh Shivan,Vijay Sethupathi,3354,2015,8,9,8.1
68,Kuttram Kadithal,Drama,8,Bramma G.,Master Ajay,665,2015,4,8,6.666666667
69,Kirumi,Crime,7,Anu Charan,Anucharan,45686,2015,7,7,7
70,Maya,Horror,7.6,Ashwin Saravanan,Nayanthara,1302,2015,9,8,8.2
71,Thani Oruvan,Action,8.4,Mohan Raja,Jayam Ravi,15421,2015,6,8,7.466666667
72,Papanasam,Drama,8.4,Jeethu Joseph,Kamal Haasan,5295,2015,8,7,7.8
73,Indru Netru Naalai,Comedy,8,R. Ravikumar,Vishnu Vishal,3339,2015,5,9,7.333333333
74,Demonte Colony,Horror,6.9,R. Ajay Gnanamuthu,Arulnithi,1725,2015,8,9,7.966666667
75,36 Vayadhinile,Drama,7.1,Roshan Andrews,Jyotika,647,2015,5,8,6.7
76,Uttama Villain,Comedy,7.2,Ramesh Aravind,Kamal Haasan,2561,2015,7,7,7.066666667
77,Kanchana 2,Comedy,5.5,Lawrence Raghavendra,Lawrence Raghavendra,1261,2015,8,8,7.166666667
78,OK Kanmani,Romance,7.4,Mani Ratnam,Dulquer Salmaan,4611,2015,6,9,7.466666667
79,Rajathandhiram,Action,7.7,A.G. Amid,Veera Bahu,1154,2015,3,8,6.233333333
80,Enakkul Oruvan,Thriller,7.7,Prasad Ramar,Siddharth,1456,2015,2,7,5.566666667
81,Press 1 for Tamil,Comedy,7,Ramprakash Rayappa,Nakhul,850,2015,4,8,6.333333333
82,Yennai Arindhaal,Action,7.3,Gautham Vasudev Menon,Ajith Kumar,7740,2015,7,9,7.766666667
83,I,Action,7.3,S. Shankar,Vikram,18345,2015,8,9,8.1
84,Dhuruvangal Pathinaaru,Action,8.4,Karthick Naren,Rahman,10895,2016,5,8,7.133333333
85,Chennai 600028 Second Innings,Comedy,7,Venkat Prabhu,Jai,937,2016,1,7,5
86,Achcham Yenbadhu Madamaiyada,Action,6.4,Gautham Vasudev Menon,T.R. Silambarasan,1896,2016,6,7,6.466666667
87,Ammani,Drama,7.9,Lakshmi Ramakrishnan,Semmalar Annam,52730,2016,9,7,7.966666667
88,Aandavan Kattalai,Drama,8.1,M. Manikandan,Vijay Sethupathi,2060,2016,8,8,8.033333333
89,Kuttrame Thandanai,Crime,7.8,M. Manikandan,Vidharth,60939,2016,7,7,7.266666667
90,Dharmadurai,Drama,7.5,Seenu Ramasamy,Vijay Sethupathi,1568,2016,8,9,8.166666667
91,Joker,Comedy,8.4,Raju Murugan,Raju Saravanan,2830,2016,5,9,7.466666667
92,Kabali,Action,6.2,Pa. Ranjith,Rajinikanth,11149,2016,8,8,7.4
93,Metro,Action,7.3,Ananda Krishnan,Shirish,697,2016,5,9,7.1
94,Iraivi,Crime,8,Karthik Subbaraj,S.J. Suryah,2736,2016,9,8,8.333333333
95,Uriyadi,Action,8.1,Vijay Kumar,Vijay Kumar,1878,2016,8,7,7.7
96,24,Action,7.8,Vikram K. Kumar,Suriya,15774,2016,7,8,7.6
97,Theri,Action,7.1,Atlee Kumar,Joseph Vijay,12365,2016,8,9,8.033333333
98,Oopiri,Comedy,8,Vamshi Paidipally,Nagarjuna Akkineni,3915,2016,9,9,8.666666667
99,Kadhalum Kadanthu Pogum,Comedy,7.3,Nalan Kumarasamy,Vijay Sethupathi,2407,2016,8,8,7.766666667
100,Pichaikkaran,Action,7.6,Sasi,Vijay Antony,1437,2016,7,9,7.866666667
101,Saala Khadoos,Action,7.6,Sudha Kongara,Madhavan,10941,2016,8,8,7.866666667
102,Crime 23,Action,7.4,Arivazhagan Venkatachalam,Arun Vijay,1915,2017,4,9,6.8
103,Muthuramalingam,Action,1.6,Rajadurai,Priya Anand,14063,2017,5,9,5.2
104,Dream Factory,Drama,6.7,Arun Chidambaram,Jiya Anil Manne,124,2017,6,8,6.9
105,Yaman,Action,6.2,Jeeva Shankar,Vijay Antony,454,2017,9,8,7.733333333
106,Ennodu Vilayadu,Thriller,5.6,Arun Krishnaswami,Bharath Srinivasan,77,2017,8,7,6.866666667
107,Kadhal Kan Kattudhe,Drama,6.5,Shivaraj,Aneeruth,30623,2017,7,8,7.166666667
108,Pagadi Aattam,Crime,5.8,Ram K. Chandran,Rahman,79,2017,4,9,6.266666667
109,Rum,Horror,4.2,Sai Bharath,Arjun Chidambaram,118,2017,5,9,6.066666667
110,Singam 3,Action,6.3,Hari,Suriya,5063,2017,8,8,7.433333333
111,Bogan,Action,6.4,Lakshman,Jayam Ravi,1358,2017,9,8,7.8
112,Enakku Vaaitha Adimaigal,Comedy,5.8,Mahendran Rajamani,Jai,399,2017,8,7,6.933333333
113,Koditta Idangalai Nirappuga,Comedy,6.4,Parthiban,Shanthnu Bhagyaraj,65921,2017,7,8,7.133333333
114,Adhe Kangal,Action,7.3,Rohin Venkatesan,R. Aravindraj,961,2017,4,9,6.766666667
115,Bairavaa,Action,5.9,Bharathan,Joseph Vijay,7376,2017,5,9,6.633333333
116,Lens,Drama,6.9,Jayaprakash Radhakrishnan,Anand Sami,942,2017,8,8,7.633333333
117,Aruvi,Drama,8.6,Arun Prabhu Purushothaman,Aditi Balan,9890,2017,7,7,7.533333333
118,Ulkuththu,Thriller,6.7,Caarthick Raju,Dr. Chef Damodaran,17655,2017,9,8,7.9
119,Balloon,Horror,4.6,Sinish,Anjali,274,2017,5,9,6.2
120,Kalavaadiya Pozhuthugal,Romance,6.1,Thangar Bachan,Bhoomika Chawla,48,2017,8,8,7.366666667
121,Velaikkaran,Action,7.3,Mohan Raja,Sivakarthikeyan,2984,2017,6,7,6.766666667
122,Sakka Podu Podu Raja,Action,4.2,G.L. Sethuraman,Aryan,357,2017,9,8,7.066666667
123,Bhrama.com,Action,5.1,P.S. Vijayakumar,Bhagyaraj,64,2017,7,9,7.033333333
124,Chennai 2 Singapore,Comedy,6.1,Abbas Akbaar,Abbas Akbar,137,2017,8,8,7.366666667
125,12-12-1950,Comedy,5.4,Selvaah,Yogi Babu,69977,2017,8,7,6.8
126,Kodiveeran,Action,4.8,M. Muthaiya,Gnanasambandam,117,2017,9,8,7.266666667
127,Richie,Action,5.3,Gautham Ramachandran,Nivin Pauly,706,2017,9,9,7.766666667
128,Annadurai,Action,5.3,G. Srinivasan,Vijay Antony,213,2017,7,8,6.766666667
